match_id,player1_id,player2_id,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20190905-W-US_Open-SF-Belinda_Bencic-Bianca_Andreescu,p_3e8e0484,p_f6670c87,20190905,US Open,SF,21:00,Arthur Ashe,Hard,Nico Helwerth,3,1,Zindaras
20190904-W-US_Open-QF-Elise_Mertens-Bianca_Andreescu,p_59c756b5,p_f6670c87,20190904,US Open,QF,19:20,Arthur Ashe,Hard,Gregory Allensworth,3,1,Zindaras
20190903-W-US_Open-QF-Serena_Williams-Qiang_Wang,p_76f82292,p_be810448,20190903,US Open,QF,7:20 PM,Arthur Ashe Stadium,Hard,,3,1,Carrie
20190902-W-US_Open-R16-Bianca_Andreescu-Taylor_Townsend,p_f6670c87,p_adef3fde,20190902,US Open,R16,10:45 PM,Arthur Ashe Stadium,Hard,,3,1,Carrie
20190831-W-US_Open-R32-Sorana_Cirstea-Taylor_Townsend,p_5bcf19ab,p_adef3fde,20190831,US Open,R32,11:10 AM,Louis Armstrong Stadium,Hard,,3,1,Carrie
20190831-W-US_Open-R32-Naomi_Osaka-Coco_Gauff,p_b03573df,p_bdaefbbe,20190831,US Open,R32,7:15 PM,Arthur Ashe Stadium,Hard,,3,1,Carrie
20190831-W-US_Open-R32-Kristie_Ahn-Jelena_Ostapenko,p_7e794bd3,p_8ea54ddc,20190831,US Open,R32,12:50 PM,Grandstand,Hard,,3,1,Carrie
20190831-W-US_Open-R32-Julia_Goerges-Kiki_Bertens,p_cf6645be,p_0c6fe0d8,20190831,US Open,R32,13:00,Louis Armstrong,Hard,Kader Nouni,3,1,Zindaras
20190831-W-US_Open-R32-Donna_Vekic-Yulia_Putintseva,p_99e889aa,p_77ea55d7,20190831,US Open,R32,12:55 PM,17,Hard,,3,1,Carrie
20190831-W-US_Open-R32-Caroline_Wozniacki-Bianca_Andreescu,p_c485c82d,p_f6670c87,20190831,US Open,R32,12:10,Arthur Ashe,Hard,Paula Vieira Souza,3,1,Zindaras
20190830-W-US_Open-R32-Madison_Keys-Sofia_Kenin,p_4517d142,p_c7124d39,20190830,US Open,R32,,,Hard,,3,1,Isaac
20190829-W-US_Open-R64-Taylor_Townsend-Simona_Halep,p_adef3fde,p_49632e97,20190829,US Open,R64,4:50 PM,Arthur Ashe Stadium,Hard,,3,1,Carrie
20190829-W-US_Open-R64-Su_Wei_Hsieh-Karolina_Muchova,p_79243971,p_09028a4f,20190829,US Open,R64,12:10,4,Hard,,3,1,Zindaras
20190829-W-US_Open-R64-Laura_Siegemund-Sofia_Kenin,p_06744e7d,p_c7124d39,20190829,US Open,R64,11:15,Grandstand,Hard,Paula Veira Souza,3,1,Zindaras
20190829-W-US_Open-R64-Kirsten_Flipkens-Bianca_Andreescu,p_46a7c8e4,p_f6670c87,20190829,US Open,R64,14:45,5,Hard,Jaume Campistol,3,1,Zindaras
20190829-W-US_Open-R64-Kaia_Kanepi-Donna_Vekic,p_d54af05d,p_99e889aa,20190829,US Open,R64,,10,Hard,,3,1,dryt
20190829-W-US_Open-R64-Iga_Swiatek-Anastasija_Sevastova,p_55ec160d,p_84a57976,20190829,US Open,R64,11:10,9,Hard,,3,1,Zindaras
20190829-W-US_Open-R64-Francesca_Di_Lorenzo-Julia_Goerges,p_51fe88be,p_cf6645be,20190829,US Open,R64,17:55,4,Hard,,3,1,Zindaras
20190829-W-US_Open-R64-Anastasia_Pavlyuchenkova-Kiki_Bertens,p_fdbb2ba4,p_0c6fe0d8,20190829,US Open,R64,16:40,13,Hard,,3,1,Zindaras
20190827-W-US_Open-R128-Paula_Badosa-Kiki_Bertens,p_763d2d98,p_0c6fe0d8,20190827,US Open,R128,12:55,17,Hard,,3,1,Zindaras
20190827-W-US_Open-R128-Katie_Volynets-Bianca_Andreescu,p_dcd32863,p_f6670c87,20190827,US Open,R128,13:25,10,Hard,,3,1,Zindaras
20190827-W-US_Open-R128-Donna_Vekic-Richel_Hogenkamp,p_99e889aa,p_32f65566,20190827,US Open,R128,,12,Hard,,3,1,Zindaras
20190826-W-US_Open-R128-Whitney_Osuigwe-Elina_Svitolina,p_1edef5b0,p_e48facb4,20190826,US Open,R128,4:55 PM,17,Hard,,3,1,Carrie
20190826-W-US_Open-R128-Serena_Williams-Maria_Sharapova,p_76f82292,p_8ac8089f,20190826,US Open,R128,7:50 PM,Arthur Ashe Stadium,Hard,,3,1,Carrie
20190826-W-US_Open-R128-Priscilla_Hon-Margarita_Gasparyan,p_719cf747,p_db0e51d6,20190826,US Open,R128,12:35 PM,14,Hard,,3,1,Carrie
20190826-W-US_Open-R128-Iga_Swiatek-Ivana_Jorovic,p_55ec160d,p_2cbabf0f,20190826,US Open,R128,,,Hard,,3,1,Isaac
20190826-W-US_Open-R128-Angelique_Kerber-Kristina_Mladenovic,p_0a1966b0,p_3cb140d6,20190826,US Open,R128,12:35 PM,Grandstand,Hard,,3,1,Carrie
20190818-W-New_York-Q3-Jil_Teichmann-Laura_Siegemund,p_65026499,p_06744e7d,20190818,New York,Q3,11:05,,Hard,Marta Mrozinska,3,1,Zindaras
20190817-W-Cincinnati-SF-Madison_Keys-Sofia_Kenin,p_4517d142,p_c7124d39,20190817,Cincinnati,SF,15:55,Center,Hard,Julie Kjendlie,3,1,Zindaras
20190816-W-Cincinnati-QF-Madison_Keys-Venus_Williams,p_4517d142,p_97d87729,20190816,Cincinnati,QF,7:10PM,Center,Hard,Mariana Alves,3,1,Lowell
