player_id,canonical_name,display_name,handedness,gender,first_seen,last_seen
p_c32b6db3,goran ivanisevic,Goran Ivanisevic,L,M,,
p_33ea94e9,govind nanda,Govind Nanda,R,M,,
p_88f08d64,grace min,Grace Min,R,W,,
p_0d1b5bee,greet minnen,Greet Minnen,R,W,,
p_d0747896,greg rusedski,Greg Rusedski,L,M,,
p_b10fc011,grega zemlja,Grega Zemlja,R,M,,
p_a8eb59a5,gregoire barrere,Gregoire Barrere,R,M,,
p_9e22087a,grigor dimitrov,Grigor Dimitrov,R,M,,
p_368e2ada,guido andreozzi,Guido Andreozzi,R,M,,
p_2e149548,guido pella,Guido Pella,L,M,,
p_272ea1ae,guillermo canas,Guillermo Canas,R,M,,
p_f5c88805,guillermo coria,Guillermo Coria,R,M,,
p_d93f2d63,guillermo garcia lopez,Guillermo Garcia Lopez,R,M,,
p_06304bd0,guillermo vilas,Guillermo Vilas,L,M,,
p_21ff014c,guiomar maristany zuleta de reales,Guiomar Maristany Zuleta De Reales,R,W,,
p_fbc73f32,gustavo kuerten,Gustavo Kuerten,R,M,,
p_a9824f1a,guy den ouden,Guy Den Ouden,R,M,,
p_c1b5aaff,guy forget,Guy Forget,L,M,,
p_59d28d67,hady habib,Hady Habib,R,M,,
p_f5dfb6ec,hailey baptiste,Hailey Baptiste,R,W,,
p_5c2a42ca,haley giavara,Haley Giavara,R,W,,
p_945f44d4,hamad medjedovic,Hamad Medjedovic,R,M,,
p_33356558,hana mandlikova,Hana Mandlikova,R,W,,
p_9de59a30,hanna chang,Hanna Chang,R,W,,
p_87c3abf9,hannah klugman,Hannah Klugman,R,W,,
p_c2cc8049,hanyu guo,Hanyu Guo,R,W,,
p_797510ff,harel levy,Harel Levy,R,M,,
p_872c3a71,harmony tan,Harmony Tan,R,W,,
p_887658a9,harold mayot,Harold Mayot,R,M,,
p_23842622,harold solomon,Harold Solomon,R,M,,
p_b16ec40f,harriet dart,Harriet Dart,R,W,,
p_edc6c3c3,harry wendelken,Harry Wendelken,R,M,,
p_a538a530,heather watson,Heather Watson,R,W,,
p_d88a766c,helena sukova,Helena Sukova,R,W,,
p_3c7eeea8,hendrik dreekmann,Hendrik Dreekmann,R,M,,
p_5e8432e5,henri laaksonen,Henri Laaksonen,R,M,,
p_e34275c9,henri leconte,Henri Leconte,L,M,,
p_f9f143da,henri squire,Henri Squire,R,M,,
p_3441d98a,henrik holm,Henrik Holm,R,M,,
p_118a6391,henrik sundstrom,Henrik Sundstrom,R,M,,
p_d1ec74ac,henrique rocha,Henrique Rocha,R,M,,
p_3736e43e,henry searle,Henry Searle,L,M,,
p_6db3e783,hephzibah oluwadare,Hephzibah Oluwadare,L,W,,
p_51d6797b,hernan casanova,Hernan Casanova,R,M,,
p_51438abe,hibah shaikh,Hibah Shaikh,R,W,,
p_e7213feb,hicham arazi,Hicham Arazi,L,M,,
p_e8793507,himeno sakatsume,Himeno Sakatsume,R,W,,
p_59a73e88,hiroki moriya,Hiroki Moriya,R,M,,
p_5989b7a3,ho gi kang,Ho Gi Kang,L,M,,
p_115e4f97,holger rune,Holger Rune,R,M,,
p_56595fa9,horacio zeballos,Horacio Zeballos,L,M,,
p_92ed4e4e,hubert hurkacz,Hubert Hurkacz,R,M,,
p_8f52d872,hugo dellien,Hugo Dellien,R,M,,
p_427f3943,hugo gaston,Hugo Gaston,L,M,,
p_93195fda,hugo grenier,Hugo Grenier,R,M,,
p_b51eaf31,hunter reese,Hunter Reese,R,M,,
p_03d9f727,hyeon chung,Hyeon Chung,R,M,,
p_a9a875be,hyung taik lee,Hyung Taik Lee,R,M,,
p_55ec160d,iga swiatek,Iga Swiatek,R,W,,
p_bbc1c9f8,ignacio buse,Ignacio Buse,R,M,,
p_ae3cfbf5,igor andreev,Igor Andreev,R,M,,
p_36dfc2ae,igor sijsling,Igor Sijsling,R,M,,
p_906d6d22,ilie nastase,Ilie Nastase,R,M,,
p_f5a7a97f,illya marchenko,Illya Marchenko,R,M,,
p_38942b9a,ilya ivashka,Ilya Ivashka,R,M,,
p_b78e3efc,inaki montes de la torre,Inaki Montes De La Torre,R,M,,
p_fba32737,indy de vroome,Indy De Vroome,R,W,,
p_4763a322,inigo cervantes huegun,Inigo Cervantes Huegun,R,M,,
p_a6dcc4f8,irakli labadze,Irakli Labadze,L,M,,
p_248abac0,irene burillo escorihuela,Irene Burillo Escorihuela,R,W,,
p_4fa6c3a8,irina bara,Irina Bara,R,W,,
p_97470d47,irina camelia begu,Irina Camelia Begu,R,W,,
p_62f5944c,irina falconi,Irina Falconi,R,W,,
p_f9b25f5b,irina khromacheva,Irina Khromacheva,L,W,,
p_bdf90610,iryna shymanovich,Iryna Shymanovich,R,W,,
p_5a83a80b,isabelle boulais,Isabelle Boulais,R,W,,
p_7b3bc140,isabelle wallace,Isabelle Wallace,L,W,,
p_7f6ab8c4,iva ivanovic,Iva Ivanovic,R,W,,
p_33c0995b,iva jovic,Iva Jovic,R,W,,
p_32219778,iva majoli,Iva Majoli,R,W,,
p_3db39f5c,ivan dodig,Ivan Dodig,R,M,,
p_2e4b23f4,ivan gakhov,Ivan Gakhov,L,M,,
p_dda9f27e,ivan ivanov,Ivan Ivanov,R,M,,
p_be13db19,ivan lendl,Ivan Lendl,R,M,,
p_2b7f78d7,ivan ljubicic,Ivan Ljubicic,R,M,,
p_2cbabf0f,ivana jorovic,Ivana Jorovic,R,W,,
p_a38bf022,ivo heuberger,Ivo Heuberger,R,M,,
p_4e729a1e,ivo karlovic,Ivo Karlovic,R,M,,
p_d319205c,ivo minar,Ivo Minar,R,M,,
p_f0973fb1,izak van der merwe,Izak Van Der Merwe,R,M,,
p_c67fe0c1,j j wolf,J J Wolf,R,M,,
p_26f14f6e,jack brasington,Jack Brasington,R,M,,
p_746b522a,jack draper,Jack Draper,L,M,,
p_ca674268,jack sock,Jack Sock,R,M,,
p_70d2f6ee,jacob fearnley,Jacob Fearnley,R,M,,
p_97c46db0,jada robinson,Jada Robinson,R,W,,
p_8e0dd768,jaime faria,Jaime Faria,R,M,,
p_411e67fe,jaime yzaga,Jaime Yzaga,R,M,,
p_25b0e0f5,jaimee fourlis,Jaimee Fourlis,R,W,,
p_ff700d0f,jakob hlasek,Jakob Hlasek,R,M,,
p_6742ad97,jakub mensik,Jakub Mensik,R,M,,
p_e4bdfba3,james blake,James Blake,R,M,,
p_bf2e4c98,james duckworth,James Duckworth,R,M,,
p_e5bbde3a,james mccabe,James Mccabe,R,M,,
p_974ff790,james trotter,James Trotter,R,M,,
p_eac5411f,james ward,James Ward,R,M,,
p_f89955f6,jamie hampton,Jamie Hampton,R,W,,
p_81a9bd3e,jamie loeb,Jamie Loeb,R,W,,
p_2ab22c07,jamie morgan,Jamie Morgan,R,M,,
p_747e0672,jan choinski,Jan Choinski,R,M,,
p_2d69cf43,jan gunnarsson,Jan Gunnarsson,R,M,,
p_3ef9b6a0,jan hernych,Jan Hernych,R,M,,
p_c0d53f4b,jan kodes,Jan Kodes,R,M,,
p_ef36b3e3,jan kroslak,Jan Kroslak,R,M,,
p_0a31e01f,jan kumstat,Jan Kumstat,R,M,,
p_a8ea60fb,jan lennard struff,Jan Lennard Struff,R,M,,
p_d4bfa6ac,jan michael gambill,Jan Michael Gambill,R,M,,
p_f66cd6b0,jan siemerink,Jan Siemerink,L,M,,
p_0f7d810c,jana cepelova,Jana Cepelova,R,W,,
p_5e3fc2cf,jana fett,Jana Fett,R,W,,
p_8f13dad0,jana novotna,Jana Novotna,R,W,,
p_7912464d,janice tjen,Janice Tjen,R,W,,
p_54abb3d8,janko tipsarevic,Janko Tipsarevic,R,M,,
p_e8cf3b2c,jannik sinner,Jannik Sinner,R,M,,
p_bd7ab9ef,jaqueline cristian,Jaqueline Cristian,R,W,,
p_e4852a72,jared donaldson,Jared Donaldson,R,M,,
p_91addd1a,jared palmer,Jared Palmer,R,M,,
p_a3ffe91c,jarkko nieminen,Jarkko Nieminen,L,M,,
p_e1b1567a,jarmere jenkins,Jarmere Jenkins,R,M,,
p_8f313859,jarmila gajdosova,Jarmila Gajdosova,R,W,,
p_7fcb0298,jasmine paolini,Jasmine Paolini,R,W,,
