match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20221114-M-Tour_Finals-RR-Stefanos_Tsitsipas-Novak_Djokovic,Stefanos Tsitsipas,Novak Djokovic,R,R,20221114,Tour Finals,RR,9:10 PM,Centre,Hard,A. Nour,3,1,BG
20221114-M-Tour_Finals-RR-Andrey_Rublev-Daniil_Medvedev,Andrey Rublev,Daniil Medvedev,R,R,20221114,Tour Finals,RR,2:10 PM,Centre,Hard,M. Lahyani ,3,1,BG
20221113-M-Tour_Finals-RR-Rafael_Nadal-Taylor_Fritz,Rafael Nadal,Taylor Fritz,L,R,20221113,Tour Finals,RR,9:10 PM,Centre,Hard,R. Lichtenstein ,3,1,BG
20221113-M-Tour_Finals-RR-Casper_Ruud-Felix_Auger_Aliassime,Casper Ruud,Felix Auger Aliassime,R,R,20221113,Tour Finals,RR,2:10 PM,Centre,Hard,A. Tourte,3,1,BG
20221110-M-Roanne_CH-R16-Ugo_Blanchet-Otto_Virtanen,Ugo Blanchet,Otto Virtanen,R,R,20221110,Roanne CH,R16,,,Hard,,3,1,Shreyas
20221106-M-Paris_Masters-F-Novak_Djokovic-Holger_Rune,Novak Djokovic,Holger Rune,R,R,20221106,Paris Masters,F,3pm,Centre,Hard,Nacho Forcadell,3,1,Edo
20221106-M-Bergamo_CH-F-Jan_Lennard_Struff-Otto_Virtanen,Jan Lennard Struff,Otto Virtanen,R,R,20221106,Bergamo CH,F,,,Hard,,3,1,Shreyas
20221105-M-Paris_Masters-SF-Novak_Djokovic-Stefanos_Tsitsipas,Novak Djokovic,Stefanos Tsitsipas,R,R,20221105,Paris Masters,SF,,,Hard,,3,1,Isaac
20221104-M-Paris_Masters-QF-Stefanos_Tsitsipas-Tommy_Paul,Stefanos Tsitsipas,Tommy Paul,R,R,20221104,Paris Masters,QF,9:15 PM,Central,Hard,R. Lichtenstein ,3,1,BG
20221104-M-Paris_Masters-QF-Novak_Djokovic-Lorenzo_Musetti,Novak Djokovic,Lorenzo Musetti,R,R,20221104,Paris Masters,QF,,,Hard,,3,1,Isaac
